1,688,528,736,576,18
1,592,512,672,624,18
2,160,496,192,544,18
2,640,512,736,624,18
3,192,496,240,544,18
5,416,352,464,400,16
6,464,352,512,400,16
6,320,512,352,560,18
7,432,480,464,528,18
7,432,496,464,544,18
8,576,352,608,384,16
11,336,576,384,624,19
12,640,560,672,592,18
12,1435,432,1467,480,18
13,16,48,48,80,24
13,843,336,907,384,16
14,736,384,832,480,16
14,923,336,971,384,16
15,736,384,816,480,16
15,987,336,1051,384,16
16,144,288,176,320,16
16,1051,336,1115,384,16
16,779,496,811,544,18
17,1131,336,1195,384,16
18,1211,336,1275,384,16
19,1291,336,1371,384,16
20,1099,592,1131,624,18
24,272,224,320,272,16
24,1419,592,1435,640,18
26,0,240,32,288,16
27,32,240,80,288,16
28,80,400,112,448,18
29,112,240,160,288,16
29,80,32,112,64,15
30,128,32,160,64,15
30,240,304,272,336,18
31,64,48,112,80,15
31,240,48,272,80,15
31,128,16,160,48,15
32,224,224,272,272,15
32,208,304,240,336,18
33,256,224,304,272,18
33,48,80,80,112,15
33,64,16,96,48,15
34,160,32,208,64,15
34,336,384,368,416,19
35,304,224,352,272,16
35,656,176,704,224,16
35,843,288,875,320,16
36,144,592,176,624,19
36,304,304,336,336,18
36,336,224,384,272,16
37,144,544,176,576,19
37,320,304,352,336,18
37,432,352,464,384,19
37,352,224,400,272,16
38,336,304,368,336,18
38,0,256,32,288,16
38,368,224,416,272,16
39,448,288,480,336,18
39,384,224,432,272,16
39,736,176,784,224,16
39,80,448,112,480,18
40,432,400,464,432,19
40,752,176,800,224,16
40,400,224,448,272,16
41,64,480,96,512,18
41,368,304,400,336,18
41,416,240,448,272,16
41,368,0,400,32,15
42,496,368,528,400,19
42,304,32,336,64,15
42,432,224,480,272,16
43,32,496,80,544,18
44,368,0,400,32,15
44,16,512,48,560,18
44,795,272,827,304,18
44,1163,256,1195,288,16
45,464,240,496,272,16
45,1179,256,1211,288,16
46,176,544,208,592,18
46,288,48,320,80,15
47,368,416,400,448,18
47,464,224,512,272,16
47,240,48,272,80,15
47,1211,256,1243,288,16
48,128,576,176,624,18
48,352,32,384,64,15
48,480,224,528,272,16
48,368,416,400,464,18
48,1227,256,1259,288,16
49,480,224,528,272,16
50,480,224,528,272,16
50,400,320,432,352,18
50,859,160,923,224,16
51,336,0,368,32,15
51,192,16,224,48,15
51,368,48,400,80,15
51,320,48,336,80,15
51,352,432,384,480,18
51,1259,256,1291,288,16
52,288,432,336,480,18
53,496,224,544,272,16
53,336,448,368,480,18
53,192,16,224,64,15
53,891,160,939,208,16
53,1291,256,1323,288,16
54,496,224,544,272,16
55,320,464,352,496,18
55,1323,256,1355,288,16
55,907,160,955,208,16
56,1339,256,1371,288,16
57,240,480,272,512,18
57,288,480,320,512,18
58,1355,256,1403,304,16
59,1371,256,1419,304,16
60,1387,256,1419,304,16
61,224,80,256,112,15
61,1403,256,1435,304,16
62,176,560,208,592,18
64,272,0,304,48,15
66,496,208,560,272,16
67,496,208,560,272,16
67,272,528,304,576,18
68,496,224,544,272,16
69,496,208,560,272,16
70,480,208,544,272,16
70,1547,272,1595,320,16
71,480,224,544,288,16
71,272,32,304,64,15
71,955,112,1067,272,16
72,480,224,544,272,16
73,464,208,544,288,16
73,352,128,384,160,15
74,288,48,320,80,15
74,464,208,544,272,16
75,939,288,971,320,18
75,987,80,1131,288,16
76,464,208,544,288,16
76,987,64,1131,304,16
77,464,208,544,304,16
77,352,16,384,48,15
77,224,32,256,64,15
77,1483,384,1531,432,16
79,448,208,544,304,16
79,384,48,416,80,15
79,352,32,384,64,15
79,1019,144,1195,272,16
80,736,256,768,288,16
80,1019,80,1179,272,16
81,432,208,528,304,16
81,224,592,256,624,19
81,368,64,400,96,15
81,1035,0,1195,336,16
81,1035,128,1211,288,16
82,448,208,544,304,16
82,1051,96,1243,272,16
83,1051,48,1259,304,16
84,432,208,512,272,16
84,256,64,288,112,15
84,1067,112,1259,288,16
84,1083,0,1275,336,16
85,432,208,512,288,16
85,923,304,955,336,18
85,1083,80,1307,304,16
86,432,208,528,304,16
86,923,304,955,336,18
86,1099,64,1355,304,16
86,1131,16,1323,192,16
87,336,16,368,48,15
87,736,256,768,288,16
87,987,304,1019,336,18
87,1115,48,1355,288,16
88,272,32,304,64,15
88,939,304,971,336,18
88,1163,0,1419,304,16
89,416,208,496,288,16
89,736,256,768,288,16
89,416,0,464,32,15
89,939,304,971,336,18
89,1179,16,1467,320,16
90,416,208,496,288,16
90,736,256,768,288,16
90,939,304,971,336,18
90,1227,48,1499,288,16
91,736,256,768,288,16
91,1259,64,1499,304,16
92,736,256,768,288,16
92,400,192,496,304,16
92,1323,48,1579,288,16
93,400,208,496,304,16
93,1371,48,1579,304,16
94,336,112,368,144,15
94,955,320,987,352,18
94,1035,320,1067,352,18
95,971,320,1003,352,18
96,384,208,480,304,16
96,971,320,1003,352,16
97,208,48,240,80,15
97,736,256,768,288,16
98,192,32,224,64,15
99,304,16,336,48,15
99,192,32,224,64,15
99,1067,336,1099,368,18
99,987,320,1019,368,18
100,736,256,768,288,16
100,336,192,432,288,16
100,1067,336,1099,368,16
100,987,320,1019,368,18
101,736,256,768,288,16
101,987,336,1019,368,18
102,400,32,432,64,15
102,1003,336,1035,368,18
104,1003,352,1051,384,18
104,1099,352,1131,400,18
105,720,256,768,304,16
105,1003,336,1051,384,18
106,256,0,288,32,15
106,160,32,192,64,15
106,1019,352,1067,400,18
106,1115,352,1163,400,18
107,1019,352,1067,400,18
107,1131,368,1163,400,18
108,720,272,752,304,16
108,368,16,400,48,15
109,720,272,752,304,16
109,240,80,272,112,15
109,1147,368,1195,416,18
109,1035,352,1083,416,18
110,288,32,320,64,15
110,720,272,752,304,16
110,1147,368,1195,416,18
110,1035,368,1099,416,18
111,288,80,336,128,15
111,720,272,752,304,16
111,1051,368,1099,432,18
111,1163,368,1211,432,18
112,1179,384,1227,432,18
112,1051,368,1115,432,18
113,192,0,224,32,15
113,704,256,752,304,16
113,288,80,336,128,15
113,1179,224,1211,256,20
113,1067,384,1131,448,18
113,1195,384,1243,448,18
115,304,304,352,352,16
115,320,304,368,352,16
115,704,256,752,304,16
115,176,16,208,48,15
115,1227,400,1275,448,18
116,704,256,752,304,16
116,288,48,320,80,15
116,384,0,432,48,15
116,1243,400,1307,464,18
117,160,80,192,112,18
117,1259,400,1323,480,18
118,160,48,192,80,15
118,144,0,176,32,15
118,1291,416,1355,496,18
119,336,0,384,48,15
119,1131,416,1243,512,18
121,80,192,128,240,16
121,688,272,736,320,16
121,448,64,496,112,15
121,1163,416,1291,528,18
121,1355,448,1419,528,18
122,688,272,736,320,16
122,1387,464,1467,560,18
122,1179,448,1323,560,18
123,688,272,736,320,16
123,224,320,272,368,16
123,1211,464,1355,576,18
124,688,272,736,320,16
124,48,48,80,80,15
124,1227,464,1371,608,18
125,1243,496,1419,640,18
127,672,288,720,336,16
128,672,288,720,336,16
129,672,288,720,336,16
130,656,288,704,336,16
131,656,288,704,336,16
132,656,288,704,336,16
133,624,288,688,336,16
137,624,304,656,352,16
138,608,304,656,352,16
141,576,304,624,368,16
143,859,272,891,304,18
145,736,240,768,272,18
147,843,272,875,304,18
153,272,368,416,496,16
153,16,48,48,80,15
154,240,400,384,528,16
155,432,352,464,384,16
157,112,400,288,560,16
157,752,256,784,288,20
157,384,352,416,384,16
158,368,352,400,384,16
161,304,336,336,368,16
162,208,16,240,48,15
162,272,336,304,368,16
163,256,352,288,384,16
164,336,112,384,160,15
165,779,448,811,480,19
166,192,368,224,400,16
167,672,304,704,336,18
169,352,96,384,128,15
169,1003,176,1035,208,15
169,811,384,843,416,18
171,1115,544,1147,576,15
172,352,96,384,128,15
174,1211,320,1259,368,18
175,1227,320,1275,368,18
177,1275,320,1323,384,18
178,1307,320,1355,384,18
180,1355,320,1403,400,18
181,1403,336,1451,416,18
182,1435,336,1483,416,18
182,1419,336,1467,400,18
183,1467,336,1531,416,18
184,336,320,368,352,15
184,1499,336,1563,432,18
185,1547,336,1611,432,18
187,1243,384,1307,448,1
191,416,448,448,480,19
191,592,64,624,96,15
192,608,64,640,96,15
195,656,64,688,96,15
196,656,64,688,96,15
197,640,48,672,80,15
200,32,48,64,96,15
209,640,48,672,80,15
211,624,48,656,80,15
214,608,48,640,80,15
217,592,32,624,64,15
221,576,64,608,96,15
222,192,112,224,160,15
223,560,64,592,96,15
226,496,48,528,80,15
229,16,96,48,128,15
230,480,0,528,48,15
234,464,320,496,352,15
236,368,48,400,80,15
237,96,416,128,448,15
238,352,80,384,112,15
240,1051,352,1083,384,18
241,1147,368,1179,400,18
242,1419,576,1467,624,18
246,160,16,192,64,15
254,464,64,512,112,15
254,784,240,816,272,18
255,784,240,816,272,18
256,384,64,416,96,15
259,800,256,832,304,18
261,288,256,320,288,16
263,1515,560,1547,592,18
264,224,256,256,288,16
265,208,272,240,304,16
266,907,208,939,240,16
267,144,272,176,304,16
267,144,272,192,320,16
268,112,272,144,304,16
268,907,208,939,240,16
270,32,256,64,288,16
270,48,288,80,320,16
272,640,224,672,256,16
278,624,224,656,256,16
279,891,208,923,240,16
282,1531,224,1563,256,15
282,971,320,1003,352,18
282,891,208,923,240,16
283,560,32,592,64,15
283,891,208,923,240,16
284,891,256,923,288,13
285,811,272,843,304,18
285,891,256,923,288,13
286,987,336,1019,368,18
286,891,256,923,288,13
287,608,224,640,256,16
287,891,208,923,240,16
287,987,336,1019,368,18
287,811,272,843,304,18
287,891,256,923,288,13
288,608,224,640,256,16
288,891,208,923,240,16
288,891,256,923,288,13
289,891,208,923,240,16
289,811,272,843,304,18
289,891,256,923,288,13
290,1403,32,1435,64,15
290,1003,336,1035,368,18
290,891,208,923,240,16
291,592,224,624,256,16
291,891,208,923,240,16
291,891,240,923,272,13
292,592,208,624,240,16
292,891,208,923,240,16
292,811,272,843,304,18
292,891,240,923,272,13
293,592,208,624,240,16
293,891,208,923,224,16
293,891,240,923,272,13
294,891,208,923,240,16
294,891,240,923,272,13
295,1099,352,1131,384,18
295,891,208,923,224,16
295,891,240,923,272,13
296,592,208,608,240,16
296,1035,352,1067,384,18
296,891,208,923,224,16
296,891,240,923,272,13
297,576,208,608,240,16
297,1035,352,1083,400,18
297,891,208,923,240,16
297,891,240,923,272,13
298,576,208,608,256,16
298,1051,368,1083,400,18
298,891,208,923,240,16
298,891,256,923,272,13
299,891,256,923,272,13
300,752,272,784,304,18
300,1147,384,1179,416,18
