frameNumber,signType,llx,lly,lrx,lry,ulx,uly,urx,ury
1,10,654,601,665,601,654,612,665,612
1,10,911,600,923,600,911,612,923,612
1,6,896,600,908,600,896,612,908,612
1,14,997,588,1012,588,997,603,1012,603
2,10,653,601,664,601,653,612,664,612
2,10,912,600,923,600,912,612,923,612
2,6,897,600,909,600,897,612,909,612
2,14,999,588,1014,588,999,603,1014,603
3,10,652,601,663,601,652,612,663,612
3,10,912,600,924,600,912,612,924,612
3,6,897,600,909,600,897,612,909,612
3,14,1001,588,1016,588,1001,603,1016,603
4,10,651,601,662,601,651,612,662,612
4,10,913,600,924,600,913,612,924,612
4,6,898,600,910,600,898,612,910,612
4,14,1003,588,1018,588,1003,603,1018,603
5,10,650,601,662,601,650,612,662,612
5,10,913,600,925,600,913,612,925,612
5,6,898,600,910,600,898,612,910,612
5,14,1005,587,1020,587,1005,603,1020,603
6,10,649,601,661,601,649,612,661,612
6,10,914,600,926,600,914,612,926,612
6,6,899,600,911,600,899,612,911,612
6,14,1007,587,1023,587,1007,603,1023,603
7,10,648,601,660,601,648,612,660,612
7,10,914,600,926,600,914,612,926,612
7,6,899,600,911,600,899,612,911,612
7,14,1009,587,1025,587,1009,603,1025,603
8,10,648,601,659,601,648,612,659,612
8,10,915,600,927,600,915,612,927,612
8,6,900,599,912,599,900,611,912,611
8,14,1011,586,1027,586,1011,602,1027,602
9,10,647,600,658,600,647,612,658,612
9,10,915,599,928,599,915,611,928,611
9,6,900,599,912,599,900,611,912,611
9,14,1013,586,1029,586,1013,602,1029,602
10,10,646,600,657,600,646,612,657,612
10,10,916,599,928,599,916,611,928,611
10,6,901,599,913,599,901,611,913,611
10,14,1015,585,1032,585,1015,602,1032,602
11,10,645,600,656,600,645,612,656,612
11,10,917,599,929,599,917,611,929,611
11,6,901,599,913,599,901,611,913,611
11,14,1017,585,1034,585,1017,602,1034,602
12,10,644,603,656,603,644,614,656,614
12,10,917,602,929,602,917,614,929,614
12,6,902,602,914,602,902,614,914,614
12,14,1020,588,1037,588,1020,605,1037,605
13,10,643,603,655,603,643,615,655,615
13,10,918,602,930,602,918,614,930,614
13,6,902,602,915,602,902,614,915,614
13,14,1022,588,1039,588,1022,605,1039,605
14,10,642,603,654,603,642,615,654,615
14,10,918,602,931,602,918,615,931,615
14,6,903,602,915,602,903,615,915,615
14,14,1024,588,1042,588,1024,605,1042,605
15,10,641,603,653,603,641,615,653,615
15,10,919,602,931,602,919,615,931,615
15,6,903,602,916,602,903,615,916,615
15,14,1027,588,1044,588,1027,605,1044,605
16,10,640,604,652,604,640,615,652,615
16,10,920,603,932,603,920,615,932,615
16,6,904,602,916,602,904,615,916,615
16,14,1029,587,1047,587,1029,605,1047,605
17,10,639,604,651,604,639,616,651,616
17,10,920,603,933,603,920,615,933,615
17,6,904,602,917,602,904,615,917,615
17,14,1032,587,1050,587,1032,605,1050,605
18,10,638,604,650,604,638,616,650,616
18,10,921,603,934,603,921,615,934,615
18,6,905,603,918,603,905,615,918,615
18,14,1034,587,1053,587,1034,605,1053,605
19,10,637,604,649,604,637,616,649,616
19,10,921,603,934,603,921,615,934,615
19,6,905,603,918,603,905,615,918,615
19,14,1037,587,1056,587,1037,605,1056,605
20,10,636,604,648,604,636,616,648,616
20,10,922,603,935,603,922,615,935,615
20,6,906,602,919,602,906,615,919,615
20,14,1040,586,1059,586,1040,605,1059,605
21,10,635,604,647,604,635,616,647,616
21,10,923,603,936,603,923,616,936,616
21,6,906,603,919,603,906,616,919,616
21,14,1043,586,1062,586,1043,605,1062,605
22,10,634,604,646,604,634,616,646,616
22,10,923,603,936,603,923,616,936,616
22,6,907,603,920,603,907,616,920,616
22,14,1045,586,1065,586,1045,605,1065,605
23,10,633,604,645,604,633,616,645,616
23,10,924,603,937,603,924,616,937,616
23,6,908,602,921,602,908,616,921,616
23,14,1048,585,1068,585,1048,605,1068,605
24,10,632,604,644,604,632,616,644,616
24,10,925,603,938,603,925,616,938,616
24,6,908,602,921,602,908,616,921,616
24,14,1051,585,1071,585,1051,604,1071,604
25,10,631,603,644,603,631,616,644,616
25,10,925,602,939,602,925,616,939,616
25,6,909,602,922,602,909,616,922,616
25,14,1054,584,1074,584,1054,604,1074,604
26,10,630,603,643,603,630,616,643,616
26,10,926,602,939,602,926,616,939,616
26,6,909,602,923,602,909,616,923,616
26,14,1057,584,1078,584,1057,604,1078,604
27,10,629,603,642,603,629,616,642,616
27,10,927,602,940,602,927,616,940,616
27,6,910,602,923,602,910,616,923,616
27,14,1061,583,1081,583,1061,604,1081,604
28,10,628,601,640,601,628,614,640,614
28,10,927,600,941,600,927,613,941,613
28,6,910,600,924,600,910,613,924,613
28,14,1064,581,1085,581,1064,601,1085,601
29,10,626,600,639,600,626,613,639,613
29,10,928,599,942,599,928,613,942,613
29,6,911,599,925,599,911,613,925,613
29,14,1067,580,1088,580,1067,600,1088,600
30,10,625,600,638,600,625,613,638,613
30,10,929,599,943,599,929,612,943,612
30,6,912,599,925,599,912,612,925,612
30,14,1071,579,1092,579,1071,600,1092,600
31,10,624,600,637,600,624,613,637,613
31,10,930,598,943,598,930,612,943,612
31,6,912,598,926,598,912,612,926,612
31,14,1074,578,1096,578,1074,599,1096,599
32,10,623,599,636,599,623,612,636,612
32,10,930,598,944,598,930,612,944,612
32,6,913,598,927,598,913,612,927,612
32,14,1078,577,1100,577,1078,599,1100,599
33,10,622,599,635,599,622,612,635,612
33,10,931,598,945,598,931,612,945,612
33,6,914,598,928,598,914,612,928,612
33,14,1082,577,1104,577,1082,599,1104,599
34,10,621,599,634,599,621,612,634,612
34,10,932,598,946,598,932,612,946,612
34,6,914,598,928,598,914,612,928,612
34,14,1086,576,1108,576,1086,598,1108,598
35,10,620,599,633,599,620,612,633,612
35,10,933,598,947,598,933,612,947,612
35,6,915,597,929,597,915,612,929,612
35,14,1090,575,1112,575,1090,598,1112,598
36,10,618,599,632,599,618,612,632,612
36,10,933,597,948,597,933,612,948,612
36,6,915,597,930,597,915,612,930,612
36,14,1094,575,1117,575,1094,598,1117,598
37,10,617,598,631,598,617,612,631,612
37,10,934,597,948,597,934,612,948,612
37,6,916,597,930,597,916,611,930,611
37,14,1098,574,1121,574,1098,598,1121,598
38,10,616,598,630,598,616,612,630,612
38,10,935,597,949,597,935,611,949,611
38,6,917,597,931,597,917,611,931,611
38,14,1102,573,1126,573,1102,597,1126,597
39,10,615,598,629,598,615,612,629,612
39,10,936,597,950,597,936,611,950,611
39,6,917,597,932,597,917,611,932,611
39,14,1107,573,1131,573,1107,597,1131,597
40,10,614,598,628,598,614,612,628,612
40,10,936,597,951,597,936,612,951,612
40,6,918,597,933,597,918,611,933,611
40,14,1111,572,1136,572,1111,597,1136,597
41,10,612,598,626,598,612,612,626,612
41,10,937,597,952,597,937,612,952,612
41,6,919,597,934,597,919,611,934,611
41,14,1116,572,1141,572,1116,597,1141,597
42,10,611,598,625,598,611,612,625,612
42,10,938,597,953,597,938,612,953,612
42,6,920,597,934,597,920,612,934,612
42,14,1121,571,1146,571,1121,596,1146,596
43,10,610,598,624,598,610,612,624,612
43,10,939,597,954,597,939,612,954,612
43,6,920,596,935,596,920,611,935,611
43,14,1126,570,1152,570,1126,596,1152,596
44,10,609,597,623,597,609,611,623,611
44,10,940,597,955,597,940,611,955,611
44,6,921,596,936,596,921,611,936,611
44,14,1131,569,1157,569,1131,595,1157,595
45,10,607,597,622,597,607,611,622,611
45,10,941,596,956,596,941,611,956,611
45,6,922,596,937,596,922,611,937,611
45,14,1136,568,1163,568,1136,595,1163,595
46,10,606,597,620,597,606,611,620,611
46,10,941,596,957,596,941,611,957,611
46,6,922,596,938,596,922,611,938,611
46,14,1141,567,1169,567,1141,594,1169,594
47,10,604,597,619,597,604,611,619,611
47,10,942,596,958,596,942,611,958,611
47,6,923,595,939,595,923,611,939,611
47,14,1148,566,1176,566,1148,594,1176,594
48,10,603,597,617,597,603,611,617,611
48,10,943,595,959,595,943,611,959,611
48,6,924,595,940,595,924,611,940,611
48,14,1155,565,1183,565,1155,593,1183,593
49,10,601,596,616,596,601,611,616,611
49,10,944,595,960,595,944,610,960,610
49,6,925,595,941,595,925,610,941,610
49,14,1162,563,1191,563,1162,592,1191,592
50,10,599,596,614,596,599,611,614,611
50,10,945,595,961,595,945,610,961,610
50,6,926,594,942,594,926,610,942,610
50,14,1170,562,1199,562,1170,592,1199,592
51,10,598,596,613,596,598,610,613,610
51,10,947,594,962,594,947,610,962,610
51,6,927,594,943,594,927,610,943,610
51,14,1178,561,1208,561,1178,591,1208,591
52,10,596,595,611,595,596,610,611,610
52,10,948,594,964,594,948,610,964,610
52,6,928,594,944,594,928,610,944,610
52,14,1186,559,1217,559,1186,590,1217,590
53,10,594,595,610,595,594,610,610,610
53,10,949,594,965,594,949,610,965,610
53,6,929,594,945,594,929,610,945,610
53,14,1194,558,1226,558,1194,590,1226,590
54,10,593,595,608,595,593,610,608,610
54,10,950,594,966,594,950,610,966,610
54,6,930,593,946,593,930,610,946,610
54,14,1203,557,1236,557,1203,589,1236,589
55,10,591,594,606,594,591,610,606,610
55,10,951,593,967,593,951,610,967,610
55,6,931,593,947,593,931,609,947,609
55,14,1212,555,1246,555,1212,588,1246,588
56,10,589,594,605,594,589,609,605,609
56,10,952,593,969,593,952,609,969,609
56,6,932,593,948,593,932,609,948,609
56,14,1222,554,1256,554,1222,587,1256,587
57,10,587,594,603,594,587,609,603,609
57,10,953,593,970,593,953,609,970,609
57,6,933,592,949,592,933,609,949,609
57,14,1232,552,1267,552,1232,587,1267,587
58,10,585,594,601,594,585,609,601,609
58,10,954,592,971,592,954,609,971,609
58,6,934,592,950,592,934,609,950,609
58,14,1243,550,1279,550,1243,586,1279,586
59,10,584,593,600,593,584,609,600,609
59,10,956,592,973,592,956,609,973,609
59,6,935,592,952,592,935,609,952,609
59,14,1254,549,1291,549,1254,585,1291,585
60,10,582,593,598,593,582,609,598,609
60,10,957,592,974,592,957,609,974,609
60,6,936,592,953,592,936,609,953,609
60,14,1266,547,1304,547,1266,584,1304,584
61,10,580,593,596,593,580,609,596,609
61,10,958,592,975,592,958,609,975,609
61,6,937,592,954,592,937,609,954,609
61,14,1278,545,1317,545,1278,583,1317,583
62,10,578,593,594,593,578,609,594,609
62,10,959,592,977,592,959,609,977,609
62,6,938,591,955,591,938,609,955,609
62,14,1291,543,1331,543,1291,582,1331,582
63,10,576,593,593,593,576,609,593,609
63,10,961,592,978,592,961,609,978,609
63,6,939,591,957,591,939,609,957,609
63,14,1305,540,1346,540,1305,581,1346,581
64,10,574,593,591,593,574,609,591,609
64,10,962,591,980,591,962,609,980,609
64,6,940,591,958,591,940,609,958,609
64,14,1319,538,1362,538,1319,580,1362,580
65,10,572,593,589,593,572,610,589,610
65,10,963,591,981,591,963,609,981,609
65,6,941,591,959,591,941,609,959,609
65,14,1335,536,1378,536,1335,579,1378,579
66,10,570,593,587,593,570,610,587,610
66,10,965,591,983,591,965,609,983,609
66,10,826,603,836,603,826,613,836,613
66,6,942,591,961,591,942,609,961,609
66,14,1351,534,1396,534,1351,578,1396,578
67,10,568,593,585,593,568,610,585,610
67,10,966,591,984,591,966,609,984,609
67,10,826,603,837,603,826,613,837,613
67,6,944,591,962,591,944,609,962,609
67,14,1368,531,1415,531,1368,577,1415,577
68,10,566,593,583,593,566,610,583,610
68,10,967,591,986,591,967,609,986,609
68,10,826,603,837,603,826,613,837,613
68,6,945,591,963,591,945,609,963,609
68,14,1387,529,1434,529,1387,576,1434,576
69,10,564,593,581,593,564,610,581,610
69,10,969,591,987,591,969,609,987,609
69,10,826,603,837,603,826,613,837,613
69,6,946,591,965,591,946,609,965,609
69,14,1406,526,1456,526,1406,575,1456,575
70,10,562,592,579,592,562,610,579,610
70,10,970,591,989,591,970,610,989,610
70,10,827,603,837,603,827,613,837,613
70,6,947,591,966,591,947,609,966,609
70,14,1427,523,1478,523,1427,574,1478,574
71,10,560,592,577,592,560,610,577,610
71,10,972,591,991,591,972,609,991,609
71,10,827,603,837,603,827,613,837,613
71,6,949,590,967,590,949,609,967,609
71,14,1449,520,1502,520,1449,572,1502,572
72,10,558,592,575,592,558,610,575,610
72,10,973,591,992,591,973,610,992,610
72,10,827,603,837,603,827,614,837,614
72,6,950,590,969,590,950,609,969,609
72,14,1473,516,1528,516,1473,571,1528,571
73,10,555,592,573,592,555,610,573,610
73,10,975,590,994,590,975,609,994,609
73,10,827,603,837,603,827,614,837,614
73,6,951,590,970,590,951,609,970,609
73,14,1499,512,1556,512,1499,569,1556,569
74,10,553,592,571,592,553,609,571,609
74,10,976,590,996,590,976,609,996,609
74,10,827,603,837,603,827,614,837,614
74,6,952,590,972,590,952,609,972,609
74,14,1526,508,1586,508,1526,567,1586,567
75,10,551,592,569,592,551,609,569,609
75,10,978,590,997,590,978,609,997,609
75,10,827,603,837,603,827,614,837,614
75,6,954,590,973,590,954,609,973,609
75,14,1556,504,1618,504,1556,565,1618,565
76,10,549,591,567,591,549,609,567,609
76,10,979,590,999,590,979,609,999,609
76,10,827,603,838,603,827,614,838,614
76,6,955,589,975,589,955,609,975,609
76,14,1588,498,1628,498,1588,563,1628,563
77,10,546,591,565,591,546,609,565,609
77,10,981,589,1001,589,981,609,1001,609
77,10,827,603,838,603,827,614,838,614
77,6,956,589,976,589,956,609,976,609
78,10,544,591,563,591,544,609,563,609
78,10,982,589,1003,589,982,609,1003,609
78,10,827,603,838,603,827,614,838,614
78,6,958,589,978,589,958,609,978,609
