frameNumber,signType,llx,lly,lrx,lry,ulx,uly,urx,ury
1,5,909,602,920,602,909,612,920,612
1,13,708,596,724,596,708,610,724,610
1,13,1067,594,1085,594,1067,610,1085,610
2,5,908,602,919,602,908,612,919,612
2,13,706,596,722,596,706,610,722,610
2,13,1068,594,1086,594,1068,610,1086,610
3,5,907,602,918,602,907,612,918,612
3,13,704,595,720,595,704,610,720,610
3,13,1068,594,1086,594,1068,610,1086,610
4,5,906,602,917,602,906,612,917,612
4,13,701,595,718,595,701,610,718,610
4,13,1068,594,1086,594,1068,610,1086,610
5,5,905,602,916,602,905,612,916,612
5,13,699,595,716,595,699,610,716,610
5,13,1068,594,1087,594,1068,610,1087,610
6,5,904,601,915,601,904,612,915,612
6,13,697,595,713,595,697,610,713,610
6,13,1068,594,1087,594,1068,609,1087,609
7,5,903,601,914,601,903,612,914,612
7,13,694,595,711,595,694,610,711,610
7,13,1069,594,1087,594,1069,609,1087,609
8,5,902,601,913,601,902,612,913,612
8,13,692,595,709,595,692,610,709,610
8,13,1069,593,1087,593,1069,609,1087,609
9,5,900,601,911,601,900,612,911,612
9,13,689,594,706,594,689,610,706,610
9,13,1069,593,1088,593,1069,609,1088,609
10,5,899,601,910,601,899,612,910,612
10,13,687,594,704,594,687,610,704,610
10,13,1069,593,1088,593,1069,609,1088,609
11,5,898,601,909,601,898,612,909,612
11,13,684,594,701,594,684,610,701,610
11,13,1069,593,1088,593,1069,609,1088,609
12,5,897,601,908,601,897,612,908,612
12,13,681,594,699,594,681,610,699,610
12,13,1069,593,1088,593,1069,609,1088,609
13,5,895,601,907,601,895,612,907,612
13,13,678,594,696,594,678,609,696,609
13,13,1069,592,1089,592,1069,609,1089,609
14,5,894,601,905,601,894,612,905,612
14,13,676,593,693,593,676,609,693,609
14,13,1070,592,1089,592,1070,609,1089,609
15,5,893,601,904,601,893,612,904,612
15,13,673,593,691,593,673,609,691,609
15,13,1070,592,1089,592,1070,609,1089,609
16,5,891,601,903,601,891,612,903,612
16,13,670,593,688,593,670,609,688,609
16,13,1070,592,1089,592,1070,609,1089,609
17,5,890,601,901,601,890,612,901,612
17,13,667,593,685,593,667,609,685,609
17,13,1070,592,1090,592,1070,609,1090,609
18,5,889,600,900,600,889,612,900,612
18,13,664,593,682,593,664,609,682,609
18,13,1070,592,1090,592,1070,609,1090,609
19,5,887,600,899,600,887,612,899,612
19,13,661,592,679,592,661,609,679,609
19,13,1070,591,1090,591,1070,609,1090,609
20,5,886,600,897,600,886,612,897,612
20,13,657,592,676,592,657,609,676,609
20,13,1070,591,1090,591,1070,609,1090,609
21,5,884,600,896,600,884,612,896,612
21,13,654,592,673,592,654,609,673,609
21,13,1070,591,1090,591,1070,609,1090,609
22,5,883,600,894,600,883,612,894,612
22,13,651,592,670,592,651,609,670,609
22,13,1070,591,1090,591,1070,608,1090,608
23,5,881,600,893,600,881,612,893,612
23,13,648,592,667,592,648,609,667,609
23,13,1070,591,1091,591,1070,608,1091,608
24,5,879,600,891,600,879,612,891,612
24,13,644,591,663,591,644,609,663,609
24,13,1070,590,1091,590,1070,608,1091,608
25,5,878,600,890,600,878,612,890,612
25,13,640,591,660,591,640,609,660,609
