frameNumber,signType,llx,lly,lrx,lry,ulx,uly,urx,ury
1,3,1082,574,1111,574,1082,602,1111,602
1,8,961,596,977,596,961,610,977,610
2,3,1086,574,1115,574,1086,602,1115,602
2,8,962,596,978,596,962,610,978,610
3,3,1090,573,1119,573,1090,602,1119,602
3,8,963,596,979,596,963,610,979,610
4,3,1094,573,1123,573,1094,602,1123,602
4,8,964,596,980,596,964,610,980,610
5,3,1098,572,1128,572,1098,602,1128,602
5,8,965,596,981,596,965,610,981,610
6,3,1102,571,1132,571,1102,601,1132,601
6,8,966,596,982,596,966,610,982,610
7,3,1106,571,1137,571,1106,601,1137,601
7,8,967,596,983,596,967,610,983,610
8,3,1110,570,1142,570,1110,601,1142,601
8,8,968,596,985,596,968,610,985,610
9,3,1115,569,1147,569,1115,601,1147,601
9,8,970,596,986,596,970,610,986,610
10,3,1119,569,1152,569,1119,601,1152,601
10,8,971,596,987,596,971,610,987,610
11,3,1124,568,1157,568,1124,600,1157,600
11,8,972,596,988,596,972,610,988,610
12,3,1129,567,1163,567,1129,600,1163,600
12,8,973,595,989,595,973,610,989,610
13,3,1134,566,1168,566,1134,600,1168,600
13,8,974,595,991,595,974,610,991,610
14,3,1139,566,1174,566,1139,600,1174,600
14,8,975,595,992,595,975,610,992,610
15,3,1145,565,1180,565,1145,599,1180,599
15,8,976,595,993,595,976,610,993,610
16,3,1150,564,1186,564,1150,599,1186,599
16,8,977,595,995,595,977,610,995,610
17,3,1156,563,1193,563,1156,599,1193,599
17,8,979,595,996,595,979,610,996,610
18,3,1162,562,1199,562,1162,598,1199,598
18,8,980,594,997,594,980,610,997,610
19,3,1168,561,1206,561,1168,598,1206,598
19,8,981,594,999,594,981,610,999,610
20,3,1175,560,1213,560,1175,598,1213,598
20,8,982,594,1000,594,982,610,1000,610
21,3,1181,559,1221,559,1181,597,1221,597
21,8,984,594,1001,594,984,610,1001,610
22,3,1188,558,1228,558,1188,597,1228,597
22,8,985,594,1003,594,985,609,1003,609
23,3,1195,557,1236,557,1195,596,1236,596
23,8,986,594,1004,594,986,609,1004,609
24,3,1203,555,1245,555,1203,596,1245,596
24,8,988,593,1006,593,988,609,1006,609
25,3,1210,554,1253,554,1210,596,1253,596
25,8,989,593,1007,593,989,609,1007,609
