frameNumber,signType,llx,lly,lrx,lry,ulx,uly,urx,ury
81,3,910,226,924,226,910,247,924,247
82,3,907,226,921,226,907,247,921,247
83,3,904,226,918,226,904,247,918,247
84,3,901,226,915,226,901,248,915,248
85,3,898,226,912,226,898,248,912,248
86,3,895,226,909,226,895,248,909,248
87,3,892,224,906,224,892,246,906,246
88,3,888,222,902,222,888,245,902,245
89,3,883,221,897,221,883,244,897,244
90,3,877,222,891,222,877,246,891,246
91,3,870,220,885,220,870,244,885,244
92,3,863,218,878,218,863,242,878,242
93,3,856,217,871,217,856,242,871,242
94,3,847,216,864,216,847,242,864,242
95,3,840,216,857,216,840,242,857,242
96,3,833,217,850,217,833,243,850,243
97,3,825,218,842,218,825,244,842,244
98,3,817,220,833,220,817,247,833,247
99,3,808,221,826,221,808,247,826,247
100,3,800,221,818,221,800,248,818,248
101,3,791,221,809,221,791,248,809,248
101,6,1354,163,1493,163,1354,390,1493,390
102,3,782,219,800,219,782,247,800,247
102,6,1420,143,1626,143,1420,420,1626,420
103,3,772,218,790,218,772,246,790,246
103,6,1496,125,1626,125,1496,444,1626,444
104,3,762,217,780,217,762,246,780,246
105,3,750,218,769,218,750,248,769,248
106,3,737,216,757,216,737,247,757,247
107,3,724,215,744,215,724,246,744,246
108,3,710,216,731,216,710,247,731,247
109,3,695,217,716,217,695,249,716,249
110,3,679,218,701,218,679,250,701,250
111,3,663,218,685,218,663,253,685,253
112,3,646,219,668,219,646,254,668,254
113,3,629,219,651,219,629,254,651,254
114,3,611,218,633,218,611,253,633,253
115,3,593,216,615,216,593,252,615,252
116,3,574,213,598,213,574,251,598,251
117,3,552,211,576,211,552,249,576,249
118,3,528,210,552,210,528,248,552,248
119,3,502,213,527,213,502,251,527,251
120,3,473,218,500,218,473,254,500,254
121,3,445,217,471,217,445,254,471,254
122,3,415,221,442,221,415,258,442,258
123,3,385,219,412,219,385,258,412,258
124,3,356,220,383,220,356,258,383,258
125,3,324,227,353,227,324,265,353,265
126,3,294,237,323,237,294,276,323,276
127,3,267,246,296,246,267,288,296,288
128,3,237,251,267,251,237,291,267,291
129,3,206,255,238,255,206,296,238,296
130,3,176,257,209,257,176,300,209,300
131,3,145,264,180,264,145,306,180,306
132,3,116,269,152,269,116,312,152,312
133,3,87,278,123,278,87,324,123,324
134,3,55,285,91,285,55,331,91,331
135,3,20,284,58,284,20,331,58,331
193,3,1579,265,1626,265,1579,309,1626,309
194,3,1536,262,1584,262,1536,306,1584,306
195,3,1498,256,1542,256,1498,301,1542,301
196,3,1459,256,1504,256,1459,302,1504,302
197,3,1425,255,1470,255,1425,301,1470,301
198,3,1394,254,1442,254,1394,300,1442,300
199,3,1365,251,1411,251,1365,299,1411,299
200,3,1340,249,1386,249,1340,297,1386,297
201,3,1315,248,1361,248,1315,296,1361,296
202,3,1292,248,1339,248,1292,296,1339,296
203,3,1270,246,1318,246,1270,296,1318,296
204,3,1250,245,1298,245,1250,295,1298,295
205,3,1235,245,1283,245,1235,295,1283,295
206,3,1222,247,1271,247,1222,297,1271,297
207,3,1212,244,1262,244,1212,297,1262,297
208,3,1203,243,1255,243,1203,299,1255,299
209,3,1198,243,1254,243,1198,302,1254,302
210,3,1198,244,1254,244,1198,302,1254,302
211,3,1201,243,1258,243,1201,303,1258,303
212,3,1208,243,1268,243,1208,305,1268,305
213,3,1217,243,1280,243,1217,311,1280,311
214,3,1232,244,1296,244,1232,314,1296,314
215,3,1250,243,1315,243,1250,315,1315,315
216,3,1272,242,1340,242,1272,319,1340,319
217,3,1297,241,1371,241,1297,320,1371,320
218,3,1328,240,1405,240,1328,323,1405,323
219,3,1364,239,1446,239,1364,328,1446,328
220,3,1405,239,1494,239,1405,334,1494,334
221,3,1455,238,1546,238,1455,338,1546,338
222,3,1510,237,1608,237,1510,346,1608,346
