frameNumber,signType,llx,lly,lrx,lry,ulx,uly,urx,ury
1,6,940,597,954,597,940,611,954,611
1,14,1277,556,1309,556,1277,587,1309,587
2,6,941,597,955,597,941,611,955,611
2,14,1287,554,1320,554,1287,587,1320,587
3,6,942,597,955,597,942,610,955,610
3,14,1297,553,1331,553,1297,586,1331,586
4,6,942,596,956,596,942,610,956,610
4,14,1308,551,1342,551,1308,585,1342,585
5,6,943,596,957,596,943,610,957,610
5,14,1319,550,1354,550,1319,585,1354,585
6,6,944,596,958,596,944,610,958,610
6,14,1330,548,1366,548,1330,584,1366,584
7,6,945,596,959,596,945,610,959,610
7,14,1343,547,1379,547,1343,583,1379,583
8,6,946,596,960,596,946,610,960,610
8,14,1355,545,1393,545,1355,582,1393,582
9,6,947,596,961,596,947,610,961,610
9,14,1369,543,1407,543,1369,581,1407,581
10,6,948,596,962,596,948,610,962,610
10,14,1383,541,1422,541,1383,580,1422,580
11,6,948,595,963,595,948,610,963,610
11,14,1397,539,1438,539,1397,579,1438,579
12,6,949,595,964,595,949,610,964,610
12,14,1413,537,1455,537,1413,578,1455,578
13,6,950,595,965,595,950,610,965,610
13,14,1429,535,1472,535,1429,577,1472,577
14,6,951,595,966,595,951,610,966,610
14,14,1446,533,1490,533,1446,576,1490,576
15,6,952,595,967,595,952,610,967,610
15,14,1464,530,1510,530,1464,575,1510,575
16,6,953,595,968,595,953,610,968,610
16,14,1483,528,1530,528,1483,574,1530,574
17,6,954,594,969,594,954,610,969,610
17,14,1503,525,1552,525,1503,572,1552,572
18,6,955,594,970,594,955,610,970,610
18,14,1525,522,1574,522,1525,571,1574,571
19,6,956,594,971,594,956,610,971,610
19,14,1547,519,1599,519,1547,569,1599,569
20,6,957,594,973,594,957,610,973,610
20,14,1571,516,1625,516,1571,568,1625,568
21,6,958,594,974,594,958,609,974,609
21,14,1597,512,1628,512,1597,566,1628,566
22,6,959,594,975,594,959,609,975,609
23,6,960,593,976,593,960,609,976,609
24,6,961,593,977,593,961,609,977,609
25,6,962,593,978,593,962,609,978,609
26,6,963,593,980,593,963,609,980,609
27,6,965,593,981,593,965,609,981,609
28,6,966,592,983,592,966,609,983,609
29,6,967,592,984,592,967,609,984,609
30,6,969,592,986,592,969,609,986,609
31,6,970,592,987,592,970,609,987,609
32,6,971,592,989,592,971,609,989,609
33,6,973,591,990,591,973,609,990,609
34,6,974,591,992,591,974,609,992,609
35,6,976,591,993,591,976,608,993,608
36,6,977,591,995,591,977,608,995,608
37,6,979,590,997,590,979,608,997,608
38,6,980,590,998,590,980,608,998,608
39,6,982,590,1000,590,982,608,1000,608
40,6,983,590,1002,590,983,608,1002,608
41,6,985,589,1004,589,985,608,1004,608
42,6,986,589,1005,589,986,608,1005,608
43,6,988,589,1007,589,988,608,1007,608
44,6,990,588,1009,588,990,608,1009,608
45,6,992,588,1011,588,992,608,1011,608
46,6,993,588,1013,588,993,607,1013,607
47,6,995,588,1015,588,995,607,1015,607
48,6,997,587,1017,587,997,607,1017,607
49,6,999,587,1019,587,999,607,1019,607
50,6,1000,587,1021,587,1000,607,1021,607
51,6,1002,586,1023,586,1002,607,1023,607
52,6,1004,586,1025,586,1004,607,1025,607
53,6,1006,586,1027,586,1006,607,1027,607
54,6,1008,585,1029,585,1008,607,1029,607
55,6,1010,585,1032,585,1010,606,1032,606
56,6,1012,585,1034,585,1012,606,1034,606
57,6,1014,584,1036,584,1014,606,1036,606
58,6,1016,584,1039,584,1016,606,1039,606
59,6,1019,584,1041,584,1019,606,1041,606
59,12,667,602,677,602,667,612,677,612
60,6,1021,583,1043,583,1021,606,1043,606
60,12,666,602,676,602,666,612,676,612
61,6,1023,583,1046,583,1023,606,1046,606
61,12,665,602,676,602,665,612,676,612
62,6,1025,582,1049,582,1025,606,1049,606
62,12,665,602,675,602,665,612,675,612
63,6,1028,582,1051,582,1028,605,1051,605
63,12,664,602,674,602,664,612,674,612
64,6,1030,582,1054,582,1030,605,1054,605
64,12,663,602,674,602,663,612,674,612
65,6,1033,581,1056,581,1033,605,1056,605
65,12,662,602,673,602,662,612,673,612
66,6,1035,581,1059,581,1035,605,1059,605
66,12,662,602,672,602,662,612,672,612
67,6,1038,580,1062,580,1038,605,1062,605
67,12,661,602,672,602,661,612,672,612
68,6,1040,580,1065,580,1040,605,1065,605
68,12,660,602,671,602,660,612,671,612
69,6,1043,580,1068,580,1043,605,1068,605
69,12,659,601,670,601,659,612,670,612
70,6,1045,579,1071,579,1045,604,1071,604
70,12,659,601,669,601,659,612,669,612
71,6,1048,579,1074,579,1048,604,1074,604
71,12,658,601,669,601,658,612,669,612
72,6,1051,578,1077,578,1051,604,1077,604
72,12,657,601,668,601,657,612,668,612
73,6,1054,578,1080,578,1054,604,1080,604
73,12,656,601,667,601,656,612,667,612
74,6,1057,577,1083,577,1057,604,1083,604
