frameNumber,signType,llx,lly,lrx,lry,ulx,uly,urx,ury
1,9,670,602,681,602,670,613,681,613
1,6,908,603,918,603,908,613,918,613
1,1,1066,579,1093,579,1066,606,1093,606
2,9,670,602,680,602,670,612,680,612
2,6,908,602,919,602,908,613,919,613
2,1,1069,578,1097,578,1069,605,1097,605
3,9,669,601,679,601,669,612,679,612
3,6,909,602,919,602,909,612,919,612
3,1,1073,577,1100,577,1073,604,1100,604
4,9,668,601,679,601,668,612,679,612
4,6,909,601,920,601,909,612,920,612
4,1,1076,576,1104,576,1076,604,1104,604
5,9,667,601,678,601,667,611,678,611
5,6,910,601,920,601,910,612,920,612
5,1,1080,575,1108,575,1080,603,1108,603
6,9,667,601,677,601,667,611,677,611
6,6,910,601,921,601,910,612,921,612
6,1,1083,575,1112,575,1083,603,1112,603
7,9,666,601,677,601,666,611,677,611
7,6,911,601,921,601,911,612,921,612
7,1,1087,574,1116,574,1087,603,1116,603
8,9,665,601,676,601,665,611,676,611
8,6,911,601,922,601,911,612,922,612
8,1,1091,574,1120,574,1091,603,1120,603
9,9,664,600,675,600,664,611,675,611
9,6,912,601,922,601,912,612,922,612
9,1,1095,573,1125,573,1095,603,1125,603
10,9,664,600,675,600,664,611,675,611
10,6,912,601,923,601,912,612,923,612
10,1,1099,573,1129,573,1099,603,1129,603
11,9,663,600,674,600,663,611,674,611
11,6,913,601,924,601,913,612,924,612
11,1,1103,572,1134,572,1103,602,1134,602
12,9,662,600,673,600,662,611,673,611
12,6,913,601,924,601,913,612,924,612
12,1,1107,571,1139,571,1107,602,1139,602
13,9,661,598,673,598,661,609,673,609
13,6,914,599,925,599,914,610,925,610
13,1,1111,569,1144,569,1111,600,1144,600
14,9,661,597,672,597,661,608,672,608
14,6,914,598,925,598,914,609,925,609
14,1,1116,567,1149,567,1116,598,1149,598
15,9,660,597,671,597,660,608,671,608
15,6,915,597,926,597,915,608,926,608
15,1,1121,565,1154,565,1121,598,1154,598
16,9,659,596,670,596,659,607,670,607
16,6,915,597,927,597,915,608,927,608
16,1,1125,564,1159,564,1125,597,1159,597
17,9,658,596,669,596,658,607,669,607
17,6,916,597,927,597,916,608,927,608
17,1,1130,563,1164,563,1130,597,1164,597
18,9,657,597,669,597,657,608,669,608
18,6,916,597,928,597,916,608,928,608
18,1,1135,562,1170,562,1135,596,1170,596
19,9,656,597,668,597,656,608,668,608
19,6,917,597,928,597,917,608,928,608
19,1,1140,561,1175,561,1140,596,1175,596
20,9,656,596,667,596,656,608,667,608
20,6,917,596,929,596,917,608,929,608
20,1,1146,560,1181,560,1146,595,1181,595
21,9,655,596,666,596,655,608,666,608
21,6,918,596,930,596,918,608,930,608
21,1,1151,559,1188,559,1151,595,1188,595
22,9,654,596,665,596,654,608,665,608
22,6,919,596,930,596,919,608,930,608
