frameNumber,signType,llx,lly,lrx,lry,ulx,uly,urx,ury
1,11,981,593,998,593,981,610,998,610
1,8,1229,551,1280,551,1229,596,1280,596
2,11,982,593,999,593,982,609,999,609
2,8,1238,550,1290,550,1238,595,1290,595
3,11,984,593,1000,593,984,609,1000,609
3,8,1247,549,1300,549,1247,595,1300,595
4,11,985,593,1002,593,985,609,1002,609
4,8,1257,547,1310,547,1257,594,1310,594
5,11,986,592,1003,592,986,609,1003,609
5,8,1266,545,1322,545,1266,594,1322,594
6,11,988,592,1005,592,988,609,1005,609
6,8,1277,544,1333,544,1277,593,1333,593
7,11,989,592,1006,592,989,609,1006,609
7,8,1288,542,1345,542,1288,593,1345,593
8,11,990,592,1008,592,990,609,1008,609
8,8,1299,540,1358,540,1299,592,1358,592
9,11,992,592,1010,592,992,609,1010,609
9,8,1311,538,1372,538,1311,591,1372,591
10,11,993,592,1011,592,993,609,1011,609
10,8,1324,536,1386,536,1324,591,1386,591
11,11,995,591,1013,591,995,609,1013,609
11,8,1337,535,1401,535,1337,590,1401,590
12,11,996,591,1014,591,996,609,1014,609
12,8,1351,533,1417,533,1351,590,1417,590
13,11,998,591,1016,591,998,609,1016,609
13,8,1366,530,1433,530,1366,589,1433,589
14,11,999,591,1018,591,999,610,1018,610
14,8,1382,528,1451,528,1382,589,1451,589
15,11,1001,591,1020,591,1001,610,1020,610
15,8,1398,526,1469,526,1398,588,1469,588
16,11,1003,591,1021,591,1003,610,1021,610
16,8,1416,523,1489,523,1416,588,1489,588
17,11,1004,591,1023,591,1004,610,1023,610
17,8,1434,521,1510,521,1434,587,1510,587
18,11,1006,591,1025,591,1006,610,1025,610
18,8,1454,518,1532,518,1454,586,1532,586
19,2,915,604,926,604,915,614,926,614
19,11,1008,591,1027,591,1008,610,1027,610
19,8,1475,514,1556,514,1475,585,1556,585
20,2,916,604,926,604,916,614,926,614
20,11,1009,590,1029,590,1009,610,1029,610
20,8,1498,511,1582,511,1498,584,1582,584
21,2,916,604,927,604,916,614,927,614
21,11,1011,590,1031,590,1011,610,1031,610
21,8,1522,507,1609,507,1522,583,1609,583
22,2,917,604,927,604,917,614,927,614
22,11,1013,590,1033,590,1013,610,1033,610
22,8,1548,503,1628,503,1548,581,1628,581
23,2,917,604,928,604,917,614,928,614
23,11,1015,590,1035,590,1015,609,1035,609
23,8,1577,499,1628,499,1577,580,1628,580
24,2,918,604,928,604,918,614,928,614
24,11,1017,589,1037,589,1017,609,1037,609
25,2,918,603,929,603,918,614,929,614
25,11,1018,589,1039,589,1018,609,1039,609
26,2,919,603,929,603,919,614,929,614
26,11,1020,589,1041,589,1020,609,1041,609
27,2,919,603,930,603,919,614,930,614
27,11,1022,589,1043,589,1022,609,1043,609
28,2,920,603,930,603,920,614,930,614
28,11,1024,588,1046,588,1024,609,1046,609
29,2,920,603,931,603,920,614,931,614
