frameNumber,signType,llx,lly,lrx,lry,ulx,uly,urx,ury
1,7,1503,593,1523,593,1503,608,1523,608
1,3,1376,597,1392,597,1376,610,1392,610
2,7,1476,593,1496,593,1476,609,1496,609
2,3,1352,597,1367,597,1352,610,1367,610
3,7,1451,593,1470,593,1451,609,1470,609
3,3,1329,597,1344,597,1329,610,1344,610
4,7,1426,594,1445,594,1426,609,1445,609
4,3,1307,597,1322,597,1307,610,1322,610
5,7,1403,594,1422,594,1403,609,1422,609
5,3,1286,597,1301,597,1286,610,1301,610
6,7,1382,594,1399,594,1382,609,1399,609
6,3,1266,597,1280,597,1266,610,1280,610
7,7,1361,594,1378,594,1361,609,1378,609
7,3,1247,597,1261,597,1247,610,1261,610
8,7,1341,594,1358,594,1341,609,1358,609
8,3,1229,597,1243,597,1229,610,1243,610
9,7,1322,594,1339,594,1322,609,1339,609
9,3,1211,597,1225,597,1211,610,1225,610
10,7,1304,594,1321,594,1304,609,1321,609
10,3,1195,597,1208,597,1195,610,1208,610
11,7,1288,594,1304,594,1288,609,1304,609
11,3,1179,598,1192,598,1179,610,1192,610
12,7,1272,595,1288,595,1272,609,1288,609
12,3,1164,598,1177,598,1164,610,1177,610
13,7,1256,595,1272,595,1256,609,1272,609
13,3,1149,598,1163,598,1149,610,1163,610
14,7,1242,595,1258,595,1242,609,1258,609
14,3,1136,598,1149,598,1136,610,1149,610
15,7,1228,596,1244,596,1228,610,1244,610
15,3,1122,599,1136,599,1122,611,1136,611
16,7,1215,596,1231,596,1215,610,1231,610
16,3,1110,599,1123,599,1110,611,1123,611
17,7,1203,596,1218,596,1203,610,1218,610
17,3,1098,599,1110,599,1098,611,1110,611
18,7,1191,596,1206,596,1191,610,1206,610
18,3,1086,599,1099,599,1086,611,1099,611
19,7,1179,596,1195,596,1179,610,1195,610
19,3,1075,599,1088,599,1075,611,1088,611
20,7,1169,596,1184,596,1169,610,1184,610
20,3,1064,599,1077,599,1064,611,1077,611
21,7,1159,596,1174,596,1159,611,1174,611
21,3,1054,599,1067,599,1054,611,1067,611
22,7,1149,596,1164,596,1149,611,1164,611
22,3,1045,599,1057,599,1045,612,1057,612
23,7,1140,596,1155,596,1140,611,1155,611
23,3,1036,599,1048,599,1036,612,1048,612
24,7,1131,596,1146,596,1131,611,1146,611
24,3,1027,599,1040,599,1027,612,1040,612
25,7,1123,596,1138,596,1123,611,1138,611
25,3,1019,599,1031,599,1019,612,1031,612
26,7,1115,596,1130,596,1115,611,1130,611
26,3,1010,599,1023,599,1010,612,1023,612
27,7,1108,596,1123,596,1108,611,1123,611
27,3,1003,599,1016,599,1003,612,1016,612
28,7,1101,596,1116,596,1101,611,1116,611
28,3,996,599,1008,599,996,612,1008,612
29,7,1094,596,1109,596,1094,611,1109,611
29,3,989,599,1002,599,989,612,1002,612
30,7,1088,596,1103,596,1088,611,1103,611
30,3,982,599,995,599,982,612,995,612
31,7,1083,596,1098,596,1083,611,1098,611
31,3,977,599,989,599,977,612,989,612
32,7,1078,596,1093,596,1078,611,1093,611
32,3,971,599,984,599,971,611,984,611
33,7,1073,596,1088,596,1073,611,1088,611
33,3,966,599,979,599,966,611,979,611
34,7,1069,596,1084,596,1069,610,1084,610
34,3,961,599,974,599,961,611,974,611
35,7,1065,596,1080,596,1065,610,1080,610
35,3,957,598,970,598,957,611,970,611
36,7,1061,595,1077,595,1061,610,1077,610
36,3,953,598,966,598,953,611,966,611
37,7,1059,595,1074,595,1059,610,1074,610
37,3,949,598,963,598,949,611,963,611
38,7,1057,595,1072,595,1057,610,1072,610
38,3,947,598,960,598,947,611,960,611
