# frame,sign,llx,lly,lrx,lry,ulx,uly,urx,ury
2.830000000000000000e+02,1.300000000000000000e+01,8.880000000000000000e+02,2.530000000000000000e+02,9.110000000000000000e+02,2.610000000000000000e+02,8.980000000000000000e+02,2.720000000000000000e+02,9.210000000000000000e+02,2.800000000000000000e+02
2.840000000000000000e+02,1.300000000000000000e+01,8.880000000000000000e+02,2.550000000000000000e+02,9.110000000000000000e+02,2.630000000000000000e+02,8.980000000000000000e+02,2.740000000000000000e+02,9.210000000000000000e+02,2.820000000000000000e+02
2.850000000000000000e+02,1.300000000000000000e+01,8.880000000000000000e+02,2.570000000000000000e+02,9.110000000000000000e+02,2.650000000000000000e+02,8.980000000000000000e+02,2.760000000000000000e+02,9.210000000000000000e+02,2.840000000000000000e+02
2.860000000000000000e+02,1.300000000000000000e+01,8.880000000000000000e+02,2.560000000000000000e+02,9.110000000000000000e+02,2.640000000000000000e+02,8.980000000000000000e+02,2.750000000000000000e+02,9.210000000000000000e+02,2.830000000000000000e+02
2.870000000000000000e+02,1.300000000000000000e+01,8.890000000000000000e+02,2.540000000000000000e+02,9.120000000000000000e+02,2.630000000000000000e+02,8.990000000000000000e+02,2.750000000000000000e+02,9.220000000000000000e+02,2.840000000000000000e+02
2.880000000000000000e+02,1.300000000000000000e+01,8.890000000000000000e+02,2.540000000000000000e+02,9.120000000000000000e+02,2.630000000000000000e+02,8.990000000000000000e+02,2.750000000000000000e+02,9.220000000000000000e+02,2.840000000000000000e+02
2.890000000000000000e+02,1.300000000000000000e+01,8.910000000000000000e+02,2.530000000000000000e+02,9.140000000000000000e+02,2.610000000000000000e+02,9.010000000000000000e+02,2.720000000000000000e+02,9.240000000000000000e+02,2.800000000000000000e+02
2.900000000000000000e+02,1.300000000000000000e+01,8.910000000000000000e+02,2.510000000000000000e+02,9.140000000000000000e+02,2.590000000000000000e+02,9.010000000000000000e+02,2.700000000000000000e+02,9.240000000000000000e+02,2.780000000000000000e+02
2.910000000000000000e+02,1.300000000000000000e+01,8.920000000000000000e+02,2.480000000000000000e+02,9.150000000000000000e+02,2.560000000000000000e+02,9.020000000000000000e+02,2.670000000000000000e+02,9.250000000000000000e+02,2.750000000000000000e+02
2.920000000000000000e+02,1.300000000000000000e+01,8.930000000000000000e+02,2.440000000000000000e+02,9.160000000000000000e+02,2.520000000000000000e+02,9.030000000000000000e+02,2.630000000000000000e+02,9.260000000000000000e+02,2.710000000000000000e+02
2.930000000000000000e+02,1.300000000000000000e+01,8.940000000000000000e+02,2.430000000000000000e+02,9.170000000000000000e+02,2.510000000000000000e+02,9.040000000000000000e+02,2.620000000000000000e+02,9.270000000000000000e+02,2.700000000000000000e+02
2.940000000000000000e+02,1.300000000000000000e+01,8.940000000000000000e+02,2.450000000000000000e+02,9.170000000000000000e+02,2.530000000000000000e+02,9.040000000000000000e+02,2.640000000000000000e+02,9.270000000000000000e+02,2.720000000000000000e+02
2.950000000000000000e+02,1.300000000000000000e+01,8.940000000000000000e+02,2.430000000000000000e+02,9.170000000000000000e+02,2.520000000000000000e+02,9.040000000000000000e+02,2.640000000000000000e+02,9.270000000000000000e+02,2.730000000000000000e+02
2.960000000000000000e+02,1.300000000000000000e+01,8.950000000000000000e+02,2.430000000000000000e+02,9.180000000000000000e+02,2.520000000000000000e+02,9.050000000000000000e+02,2.640000000000000000e+02,9.280000000000000000e+02,2.730000000000000000e+02
2.970000000000000000e+02,1.300000000000000000e+01,8.960000000000000000e+02,2.470000000000000000e+02,9.190000000000000000e+02,2.550000000000000000e+02,9.060000000000000000e+02,2.660000000000000000e+02,9.290000000000000000e+02,2.740000000000000000e+02
2.980000000000000000e+02,1.300000000000000000e+01,8.960000000000000000e+02,2.480000000000000000e+02,9.190000000000000000e+02,2.560000000000000000e+02,9.060000000000000000e+02,2.670000000000000000e+02,9.290000000000000000e+02,2.750000000000000000e+02
2.990000000000000000e+02,1.300000000000000000e+01,8.970000000000000000e+02,2.480000000000000000e+02,9.200000000000000000e+02,2.560000000000000000e+02,9.070000000000000000e+02,2.670000000000000000e+02,9.300000000000000000e+02,2.750000000000000000e+02
3.000000000000000000e+02,1.300000000000000000e+01,8.970000000000000000e+02,2.510000000000000000e+02,9.200000000000000000e+02,2.590000000000000000e+02,9.070000000000000000e+02,2.700000000000000000e+02,9.300000000000000000e+02,2.780000000000000000e+02
