# frame,sign,llx,lly,lrx,lry,ulx,uly,urx,ury
1.480000000000000000e+02,5.000000000000000000e+00,5.500000000000000000e+02,2.350000000000000000e+02,5.710000000000000000e+02,2.460000000000000000e+02,5.590000000000000000e+02,2.610000000000000000e+02,5.800000000000000000e+02,2.720000000000000000e+02
1.490000000000000000e+02,5.000000000000000000e+00,5.570000000000000000e+02,2.380000000000000000e+02,5.780000000000000000e+02,2.490000000000000000e+02,5.660000000000000000e+02,2.640000000000000000e+02,5.870000000000000000e+02,2.750000000000000000e+02
1.500000000000000000e+02,5.000000000000000000e+00,5.630000000000000000e+02,2.400000000000000000e+02,5.840000000000000000e+02,2.510000000000000000e+02,5.720000000000000000e+02,2.660000000000000000e+02,5.930000000000000000e+02,2.770000000000000000e+02
1.510000000000000000e+02,5.000000000000000000e+00,5.690000000000000000e+02,2.400000000000000000e+02,5.900000000000000000e+02,2.510000000000000000e+02,5.780000000000000000e+02,2.660000000000000000e+02,5.990000000000000000e+02,2.770000000000000000e+02
1.520000000000000000e+02,5.000000000000000000e+00,5.760000000000000000e+02,2.390000000000000000e+02,5.970000000000000000e+02,2.500000000000000000e+02,5.850000000000000000e+02,2.650000000000000000e+02,6.060000000000000000e+02,2.760000000000000000e+02
1.530000000000000000e+02,5.000000000000000000e+00,5.810000000000000000e+02,2.370000000000000000e+02,6.020000000000000000e+02,2.480000000000000000e+02,5.900000000000000000e+02,2.630000000000000000e+02,6.110000000000000000e+02,2.740000000000000000e+02
1.540000000000000000e+02,5.000000000000000000e+00,5.840000000000000000e+02,2.360000000000000000e+02,6.050000000000000000e+02,2.470000000000000000e+02,5.930000000000000000e+02,2.620000000000000000e+02,6.140000000000000000e+02,2.730000000000000000e+02
1.550000000000000000e+02,5.000000000000000000e+00,5.890000000000000000e+02,2.370000000000000000e+02,6.100000000000000000e+02,2.480000000000000000e+02,5.980000000000000000e+02,2.630000000000000000e+02,6.190000000000000000e+02,2.740000000000000000e+02
1.560000000000000000e+02,5.000000000000000000e+00,5.940000000000000000e+02,2.350000000000000000e+02,6.150000000000000000e+02,2.460000000000000000e+02,6.030000000000000000e+02,2.610000000000000000e+02,6.240000000000000000e+02,2.720000000000000000e+02
1.570000000000000000e+02,5.000000000000000000e+00,5.990000000000000000e+02,2.300000000000000000e+02,6.200000000000000000e+02,2.410000000000000000e+02,6.080000000000000000e+02,2.560000000000000000e+02,6.290000000000000000e+02,2.670000000000000000e+02
1.580000000000000000e+02,5.000000000000000000e+00,5.990000000000000000e+02,2.260000000000000000e+02,6.230000000000000000e+02,2.400000000000000000e+02,6.090000000000000000e+02,2.580000000000000000e+02,6.330000000000000000e+02,2.720000000000000000e+02
1.590000000000000000e+02,5.000000000000000000e+00,6.030000000000000000e+02,2.260000000000000000e+02,6.270000000000000000e+02,2.380000000000000000e+02,6.130000000000000000e+02,2.540000000000000000e+02,6.370000000000000000e+02,2.660000000000000000e+02
1.600000000000000000e+02,5.000000000000000000e+00,6.090000000000000000e+02,2.210000000000000000e+02,6.330000000000000000e+02,2.330000000000000000e+02,6.190000000000000000e+02,2.490000000000000000e+02,6.430000000000000000e+02,2.610000000000000000e+02
1.610000000000000000e+02,5.000000000000000000e+00,6.160000000000000000e+02,2.200000000000000000e+02,6.400000000000000000e+02,2.320000000000000000e+02,6.260000000000000000e+02,2.480000000000000000e+02,6.500000000000000000e+02,2.600000000000000000e+02
