# frame,sign,llx,lly,lrx,lry,ulx,uly,urx,ury
1.000000000000000000e+00,7.000000000000000000e+00,1.396000000000000000e+03,2.080000000000000000e+02,1.471000000000000000e+03,2.420000000000000000e+02,1.428000000000000000e+03,2.870000000000000000e+02,1.503000000000000000e+03,3.210000000000000000e+02
2.000000000000000000e+00,7.000000000000000000e+00,1.410000000000000000e+03,2.070000000000000000e+02,1.485000000000000000e+03,2.410000000000000000e+02,1.442000000000000000e+03,2.860000000000000000e+02,1.517000000000000000e+03,3.200000000000000000e+02
3.000000000000000000e+00,7.000000000000000000e+00,1.425000000000000000e+03,2.070000000000000000e+02,1.500000000000000000e+03,2.410000000000000000e+02,1.457000000000000000e+03,2.860000000000000000e+02,1.532000000000000000e+03,3.200000000000000000e+02
4.000000000000000000e+00,7.000000000000000000e+00,1.432000000000000000e+03,2.090000000000000000e+02,1.525000000000000000e+03,2.430000000000000000e+02,1.472000000000000000e+03,2.880000000000000000e+02,1.565000000000000000e+03,3.220000000000000000e+02
5.000000000000000000e+00,7.000000000000000000e+00,1.447000000000000000e+03,2.130000000000000000e+02,1.540000000000000000e+03,2.470000000000000000e+02,1.487000000000000000e+03,2.920000000000000000e+02,1.580000000000000000e+03,3.260000000000000000e+02
6.000000000000000000e+00,7.000000000000000000e+00,1.465000000000000000e+03,2.140000000000000000e+02,1.558000000000000000e+03,2.480000000000000000e+02,1.505000000000000000e+03,2.930000000000000000e+02,1.598000000000000000e+03,3.270000000000000000e+02
7.000000000000000000e+00,7.000000000000000000e+00,1.489000000000000000e+03,2.130000000000000000e+02,1.580000000000000000e+03,2.510000000000000000e+02,1.528000000000000000e+03,3.020000000000000000e+02,1.619000000000000000e+03,3.400000000000000000e+02
8.000000000000000000e+00,7.000000000000000000e+00,1.505000000000000000e+03,2.200000000000000000e+02,1.599000000000000000e+03,2.580000000000000000e+02,1.545000000000000000e+03,3.090000000000000000e+02,1.627000000000000000e+03,3.470000000000000000e+02
9.000000000000000000e+00,7.000000000000000000e+00,1.521000000000000000e+03,2.250000000000000000e+02,1.621000000000000000e+03,2.650000000000000000e+02,1.564000000000000000e+03,3.180000000000000000e+02,1.627000000000000000e+03,3.580000000000000000e+02
1.000000000000000000e+01,7.000000000000000000e+00,1.563000000000000000e+03,2.220000000000000000e+02,1.626000000000000000e+03,2.660000000000000000e+02,1.590000000000000000e+03,3.240000000000000000e+02,1.627000000000000000e+03,3.680000000000000000e+02
4.400000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,3.080000000000000000e+02,3.300000000000000000e+01,3.270000000000000000e+02,1.400000000000000000e+01,3.520000000000000000e+02,4.700000000000000000e+01,3.710000000000000000e+02
4.500000000000000000e+01,7.000000000000000000e+00,2.000000000000000000e+01,3.090000000000000000e+02,5.800000000000000000e+01,3.260000000000000000e+02,3.600000000000000000e+01,3.490000000000000000e+02,7.400000000000000000e+01,3.660000000000000000e+02
4.600000000000000000e+01,7.000000000000000000e+00,4.300000000000000000e+01,2.980000000000000000e+02,8.700000000000000000e+01,3.190000000000000000e+02,6.200000000000000000e+01,3.470000000000000000e+02,1.060000000000000000e+02,3.680000000000000000e+02
